apk_path,output_path,reason
downloaded_apk/100-500/edu.utdallas.hr_24.apk,decompiled_files/100-500/edu.utdallas.hr_24,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.earthpbc.explorer_221.apk,decompiled_files/100-500/com.earthpbc.explorer_221,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/sg.gladdy_6.apk,decompiled_files/100-500/sg.gladdy_6,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.trainerize.brigade_790000.apk,decompiled_files/100-500/com.trainerize.brigade_790000,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.myriadmobile.scaletickets.highline_529.apk,decompiled_files/100-500/com.myriadmobile.scaletickets.highline_529,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.shield.oeext_18.apk,decompiled_files/100-500/co.shield.oeext_18,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/io.ionic.mriapp_8.apk,decompiled_files/100-500/io.ionic.mriapp_8,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/au.edu.nsw.calrossy.eduapp_200220.apk,decompiled_files/100-500/au.edu.nsw.calrossy.eduapp_200220,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.workbeat.apps_26.apk,decompiled_files/100-500/com.workbeat.apps_26,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/co.alexis.ppccn_14.apk,decompiled_files/100-500/co.alexis.ppccn_14,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/appinventor.ai_bill_falkland.LocoMotive_Cab_3.apk,decompiled_files/100-500/appinventor.ai_bill_falkland.LocoMotive_Cab_3,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.guideslypro_85.apk,decompiled_files/100-500/com.guideslypro_85,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.neverold.board.number.match_7.apk,decompiled_files/100-500/com.neverold.board.number.match_7,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.radiocity.radio923thefoxradio923elpasotexasappradio_4.apk,decompiled_files/100-500/com.radiocity.radio923thefoxradio923elpasotexasappradio_4,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.whitemagicspells.ritualsfre_2.apk,decompiled_files/100-500/com.whitemagicspells.ritualsfre_2,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.merlinbusinesssoftware.merlinwarehouse_202.apk,decompiled_files/100-500/com.merlinbusinesssoftware.merlinwarehouse_202,Crash: [Errno 2] No such file or directory: 'jadx'
downloaded_apk/100-500/com.soteranalytics.soter_coach_62.apk,decompiled_files/100-500/com.soteranalytics.soter_coach_62,Crash: [Errno 2] No such file or directory: 'jadx'
