sha256,pkg_name,vercode,markets,apk_size,download_count,category
F5C5AB8753EE219AC071A046231B9B80C22F0B0BFF763A96576738938FC8B432,com.daily.devotionaltbr1,15,play.google.com,6984090,"100,000+ downloads",100k-500k
7F00ED97B9AC51ADABA42F5D65E58DB09C82C84DFDA7B5EB154FD92EC9DB73A7,com.codeworld.surahkahf,1,play.google.com,28372276,"5,000+ downloads",5k-10k
17CEDDE0C504EAB5A550B44D9B0F59203060D5DE2BA1FE7E2C86164293E6D775,com.io.eldaheh.total,11,play.google.com,7834261,500+ downloads,500-1k
998D53A4A48A87A57ECCF9D92FEF3000186D0B5D6C28A0B417FADB847A4946DB,de.elfsoft.bestbrokers,81,play.google.com,17181188,"1,000,000+ downloads",1M-5M
0DC9E84FA8FE30FD0B46C5E7F3B772A230DEDC927C30F56B01BF1AD48B3A2C1F,com.app.ktsbeyond,3674,play.google.com,147357874,500+ downloads,500-1k
415364D76A6446F5EE4BC32AD0C48553705DA5C1F1FCB3D7E796BB6659369192,com.ClickMagazine.ClickMagazine,70018,play.google.com,28039840,500+ downloads,500-1k
7BD9D273F8F8CD70DB01188EEE693264CAC987CE18228B1125BE177E28B9158F,pl.czestkom.lekkikes,80100,play.google.com,37928595,500+ downloads,500-1k
533D4D6190056A388B11996754E771FCBCB9A9533432C4917C05C10D8321DE64,net.iandromeda.secadorrelaxlite,10,play.google.com,10268856,"50,000+ downloads",50k-100k
07B28F35D59944C639AE4F3402221F2A1D6A0815B6885FF6DD1A5106711EF1DA,com.hannastudio.fotosdeatardecer,5,play.google.com,5249592,500+ downloads,500-1k
DA9044F2B598FE3B7DEC93A7C4F514FBA73B503925BB55F5FD9521DE7A7B4CEE,com.marchas.semana_santa,3,play.google.com,8063410,500+ downloads,500-1k
4638002A182CFFDF77E109FC309B98D67015D3D9D2A13E4E50C2E72D17F293A5,droidconsulting.smarthairstylead,422,play.google.com,19180059,"1,000,000+ downloads",1M-5M
2340A8E9D94413AC8738346DED9600BADC57ACE03267F83A3D52A778549D4A7C,com.crn.skesh,131,play.google.com,8348282,"5,000+ downloads",5k-10k
E41DE5E8737E86509E05E66791FE42223BAF27D6E0C70324948BF02F7C63A240,kz.alser.selfservice,2343,play.google.com,14003505,"50,000+ downloads",50k-100k
43EBEF626B43B3BEB2752B5E64F7FF75CDF93A5026CBC8CABE1096A84DF995C7,hicaltech87.homesteptest.threeminutesfitnesstest,2,play.google.com,11256736,500+ downloads,500-1k
7DACC84F0318C8CB2EA5954A94A97ED4C321E3859FC61981EDB12F34E84A857B,com.sgi.palottery,58,play.google.com,8775656,"500,000+ downloads",500k-1M
178DEFDD987F7AA444E9557388623CAB1C8D0F8A31DD82025858169FCF5BE12A,co.april2019.acg,44,play.google.com,32448266,500+ downloads,500-1k
F92B3AE5D9116760D5091E99D641F4C4DC0EF272D2CD35C048A99519B7ED4D0A,com.yinzcam.nba.bucks,1698301,play.google.com,66256932,"100,000+ downloads",100k-500k
E972298CA66D97EB1C8739E76AD7F48FD9DB0504D745D3DC064F272970683C70,com.wafasoft.nisab_us_sarf,12,play.google.com,29158890,"50,000+ downloads",50k-100k
D0395DCFE27C65DE401B4A89E83E9AE0AB8EE9C67117F1F728892B475882EEDA,com.soundoasis.tinLiteV2,37,play.google.com,43327423,"5,000+ downloads",5k-10k
1A98ED307D2442A39D729CBC17666F7ABE37A1F88A7B25867CC30E1704461C89,com.stranger_thingss.wallpaper,10,play.google.com,11282350,500+ downloads,500-1k
